step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
236,0.51013,0.88889,,
237,1.75708,0.88889,,
238,2.20822,0.88889,,
239,0.0,1.0,,
240,3.95526,0.77778,,
241,0.0,1.0,,
242,1.26277,0.88889,,
243,0.0,1.0,,
244,1.75396,0.88889,,
245,0.0,1.0,,
246,0.0,1.0,,
247,3.09717,0.77778,,
248,0.0,1.0,,
249,0.0,1.0,,
250,1.40258,0.88889,,
251,0.0,1.0,,
252,0.0,1.0,,
253,0.01736,1.0,,
254,0.0,1.0,,
255,0.0,1.0,,
256,0.0,1.0,,
257,0.0,1.0,,
258,0.0,1.0,,
259,1.43895,0.88889,,
260,1.80643,0.88889,,
261,0.0,1.0,,
262,0.0,1.0,,
263,0.0,1.0,,
264,0.0,1.0,,
265,3.61859,0.77778,,
266,0.0,1.0,,
267,0.0,1.0,,
268,1.76204,0.77778,,
269,1.88891,0.88889,,
270,0.0,1.0,,
271,1.67819,0.88889,,
272,0.0,1.0,,
273,0.0,1.0,,
274,1.69462,0.88889,,
275,0.00057,1.0,,
276,0.0,1.0,,
277,0.0,1.0,,
278,1e-05,1.0,,
279,0.0,1.0,,
280,0.0,1.0,,
281,1.50401,0.88889,,
282,0.0,1.0,,
283,0.0,1.0,,
284,2.16536,0.88889,,
285,1.52968,0.88889,,
286,0.0,1.0,,
287,0.0,1.0,,
288,1.00272,0.88889,,
289,0.0,1.0,,
290,0.0,1.0,,
291,0.0,1.0,,
292,1.85833,0.88889,,
293,1.73528,0.88889,,
294,0.71545,0.88889,,
295,1.75174,0.88889,,
296,1.78364,0.88889,,
297,0.0,1.0,,
298,0.0,1.0,,
299,0.0,1.0,,
300,3.54667,0.77778,,
301,1.48755,0.88889,0.0,0.33333
302,1.46499,0.88889,,
303,0.0,1.0,,
304,2.24883,0.77778,,
305,1e-05,1.0,,
306,0.0,1.0,,
307,0.0,1.0,,
308,0.0,1.0,,
309,1.41509,0.88889,,
310,1e-05,1.0,,
311,3.2184,0.77778,,
312,0.0,1.0,,
313,1.47141,0.88889,,
314,0.0,1.0,,
315,0.0,1.0,,
316,1.85136,0.88889,,
317,1.34246,0.88889,,
318,1.50702,0.88889,,
319,1.4509,0.88889,,
320,1.93248,0.77778,,
321,1.56623,0.88889,,
322,1.5478,0.88889,,
323,1e-05,1.0,,
324,2.61778,0.77778,,
325,0.0,1.0,,
326,1.52682,0.88889,,
327,2.30325,0.77778,,
328,2.26014,0.77778,,
329,0.0001,1.0,,
330,2e-05,1.0,,
331,0.00175,1.0,,
332,0.0042,1.0,,
333,1e-05,1.0,,
334,0.7968,0.88889,,
335,0.00019,1.0,,
336,1e-05,1.0,,
337,0.91847,0.88889,,
338,0.99931,0.88889,,
339,1.26468,0.88889,,
340,1e-05,1.0,,
341,1e-05,1.0,,
342,2e-05,1.0,,
343,1e-05,1.0,,
344,0.0,1.0,,
345,2e-05,1.0,,
346,0.58256,0.88889,,
347,1.22138,0.88889,,
348,0.0,1.0,,
349,0.0,1.0,,
350,0.0,1.0,,
351,0.0,1.0,,
352,1.38283,0.88889,,
353,0.0,1.0,,
354,1.38589,0.88889,,
355,0.71225,0.88889,,
356,0.0,1.0,,
357,0.0,1.0,,
