step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,3.50011,0.55556,3.0259,0.22222
2,3.57041,0.55556,,
3,3.14812,0.55556,,
4,2.82995,0.55556,,
5,2.33537,0.66667,,
6,2.71258,0.66667,,
7,2.61819,0.66667,,
8,4.01382,0.55556,,
9,2.5148,0.55556,,
10,4.47064,0.33333,,
11,2.2419,0.55556,,
12,2.36041,0.55556,,
13,3.92761,0.44444,,
14,2.14882,0.55556,,
15,2.18981,0.55556,,
16,2.41345,0.55556,,
17,1.79431,0.66667,,
18,1.53892,0.55556,,
19,1.88375,0.44444,,
20,1.36124,0.55556,,
21,1.15638,0.55556,,
22,1.94626,0.44444,,
23,0.84792,0.55556,,
24,0.75097,0.55556,,
25,0.21589,0.88889,,
26,0.99685,0.77778,,
27,0.15258,1.0,,
28,0.28516,0.88889,,
29,0.63246,0.88889,,
30,0.14609,0.88889,,
31,1.09028,0.88889,,
32,0.07631,1.0,,
33,0.99608,0.88889,,
34,0.44757,0.88889,,
35,0.35343,0.88889,,
36,0.01494,1.0,,
37,0.00384,1.0,,
38,0.02247,1.0,,
39,0.0044,1.0,,
40,0.05776,1.0,,
41,0.04199,1.0,,
42,0.08899,0.88889,,
43,0.46334,0.88889,,
44,0.18262,0.88889,,
45,0.02912,1.0,,
46,0.42408,0.77778,,
47,0.25793,0.88889,,
48,0.00211,1.0,,
49,0.03292,1.0,,
50,0.12877,0.88889,,
51,0.00352,1.0,,
52,0.22566,0.77778,,
53,0.33971,0.77778,,
54,0.88765,0.77778,,
55,0.47607,0.88889,,
56,0.09002,0.88889,,
57,0.03022,1.0,,
58,0.58085,0.77778,,
59,0.92016,0.77778,,
60,0.60663,0.88889,,
61,0.72353,0.77778,,
62,0.29465,0.88889,,
63,0.32919,0.88889,,
64,0.16716,0.88889,,
65,0.12416,0.88889,,
66,0.01861,1.0,,
67,0.03583,1.0,,
68,0.84664,0.77778,,
69,0.28795,0.88889,,
70,0.01829,1.0,,
71,0.11623,0.88889,,
72,0.01393,1.0,,
73,0.13129,0.88889,,
74,0.0359,1.0,,
75,0.19976,0.88889,,
76,0.03063,1.0,,
77,0.00705,1.0,,
78,0.33205,0.88889,,
79,0.0282,1.0,,
80,1.11071,0.88889,,
81,0.06137,1.0,,
82,0.038,1.0,,
83,0.00473,1.0,,
84,0.18118,0.88889,,
85,0.00692,1.0,,
86,0.09967,0.88889,,
87,0.01707,1.0,,
88,0.00171,1.0,,
89,0.45628,0.88889,,
90,0.4813,0.88889,,
91,0.18669,0.88889,,
92,0.03489,1.0,,
93,0.00057,1.0,,
94,0.5391,0.88889,,
95,0.28918,0.88889,,
96,0.00021,1.0,,
97,0.00167,1.0,,
98,0.6692,0.77778,,
99,0.04914,1.0,,
100,9e-05,1.0,,
101,0.00311,1.0,0.004,0.33333
102,0.80209,0.88889,,
103,1.06433,0.77778,,
104,7e-05,1.0,,
105,6e-05,1.0,,
106,0.09775,0.88889,,
107,3e-05,1.0,,
108,3e-05,1.0,,
109,0.78927,0.88889,,
110,8e-05,1.0,,
111,0.73742,0.77778,,
112,0.07117,1.0,,
113,0.00782,1.0,,
114,0.00025,1.0,,
115,0.0013,1.0,,
116,0.00085,1.0,,
117,0.00011,1.0,,
118,0.96625,0.88889,,
119,1.28358,0.88889,,
120,0.69004,0.88889,,
121,0.97943,0.88889,,
122,2e-05,1.0,,
123,1.60392,0.77778,,
124,0.02341,1.0,,
125,2e-05,1.0,,
126,0.00018,1.0,,
127,1.49654,0.88889,,
128,0.31187,0.88889,,
129,0.25417,0.88889,,
130,0.0001,1.0,,
131,1.37097,0.88889,,
132,3e-05,1.0,,
133,1.10287,0.77778,,
134,0.00062,1.0,,
135,1e-05,1.0,,
136,1.47352,0.88889,,
137,1.10623,0.88889,,
138,0.94323,0.88889,,
139,0.00081,1.0,,
140,0.33661,0.88889,,
141,2e-05,1.0,,
142,0.65645,0.88889,,
143,2e-05,1.0,,
144,0.00034,1.0,,
145,1.22573,0.77778,,
146,1.20771,0.88889,,
147,0.00189,1.0,,
148,2e-05,1.0,,
149,0.81183,0.88889,,
150,1.04491,0.77778,,
151,1e-05,1.0,,
152,0.69226,0.88889,,
153,0.00449,1.0,,
154,1e-05,1.0,,
155,1.50832,0.88889,,
156,1.00668,0.88889,,
157,1e-05,1.0,,
158,1e-05,1.0,,
159,1e-05,1.0,,
160,1e-05,1.0,,
161,1e-05,1.0,,
162,0.0013,1.0,,
163,1.75667,0.88889,,
164,1e-05,1.0,,
165,1e-05,1.0,,
166,1.86768,0.88889,,
167,1e-05,1.0,,
168,1e-05,1.0,,
169,1.29076,0.88889,,
170,1e-05,1.0,,
171,1e-05,1.0,,
172,1.99134,0.88889,,
173,1.99589,0.88889,,
174,2.02503,0.88889,,
175,0.56196,0.88889,,
176,0.0,1.0,,
177,0.01891,1.0,,
178,0.0,1.0,,
179,0.0,1.0,,
180,1e-05,1.0,,
181,1.09106,0.88889,,
182,0.01576,1.0,,
183,0.0,1.0,,
184,1.34141,0.88889,,
185,0.0,1.0,,
186,0.0,1.0,,
187,2.24778,0.77778,,
188,0.0,1.0,,
189,0.0,1.0,,
190,2.32739,0.77778,,
191,2.43107,0.88889,,
192,1.41301,0.88889,,
193,0.0,1.0,,
194,0.0,1.0,,
195,1.9866,0.88889,,
196,1.86933,0.88889,,
197,1e-05,1.0,,
198,0.21314,0.88889,,
199,1e-05,1.0,,
200,0.0,1.0,,
201,0.0,1.0,0.15064,0.22222
202,1.87068,0.88889,,
203,0.0,1.0,,
204,0.0,1.0,,
205,1.22982,0.88889,,
206,2.80665,0.77778,,
207,0.0,1.0,,
208,1.52775,0.88889,,
209,1.63699,0.88889,,
210,4e-05,1.0,,
211,1.26348,0.88889,,
212,0.0,1.0,,
213,1.98397,0.77778,,
214,0.0,1.0,,
215,1.56517,0.88889,,
216,0.0,1.0,,
217,1e-05,1.0,,
218,1.45355,0.88889,,
219,1.67026,0.88889,,
220,1.20363,0.88889,,
221,0.05615,1.0,,
222,0.54967,0.88889,,
223,1e-05,1.0,,
224,0.98811,0.88889,,
225,1.63406,0.88889,,
226,0.95177,0.88889,,
227,0.07542,1.0,,
228,1.23101,0.88889,,
229,1e-05,1.0,,
230,2.1933,0.77778,,
231,0.0,1.0,,
232,0.00053,1.0,,
233,0.00118,1.0,,
234,4e-05,1.0,,
235,0.0152,1.0,,
236,0.67902,0.88889,,
237,1e-05,1.0,,
238,4e-05,1.0,,
239,1.03972,0.88889,,
240,1e-05,1.0,,
241,0.0,1.0,,
242,0.00144,1.0,,
243,1.45912,0.88889,,
244,0.0,1.0,,
245,1.44601,0.88889,,
246,0.0,1.0,,
247,0.0,1.0,,
248,0.0,1.0,,
249,0.0,1.0,,
250,1.00653,0.88889,,
251,0.0,1.0,,
252,0.0,1.0,,
253,4.21318,0.77778,,
254,0.03322,1.0,,
255,2.00321,0.88889,,
256,0.0,1.0,,
257,2.154,0.88889,,
258,0.0,1.0,,
259,3.44716,0.77778,,
260,1.94529,0.88889,,
261,0.0,1.0,,
262,0.0,1.0,,
263,1.9256,0.88889,,
264,1.61759,0.88889,,
265,0.0,1.0,,
266,0.0,1.0,,
267,1.33434,0.88889,,
268,0.0,1.0,,
269,1.56606,0.88889,,
270,0.0,1.0,,
271,1.30445,0.88889,,
272,1.73698,0.88889,,
273,0.0,1.0,,
274,1.44613,0.88889,,
275,1.40983,0.88889,,
276,1.66434,0.88889,,
277,1.30109,0.88889,,
278,1.23673,0.88889,,
279,0.0,1.0,,
280,1.47098,0.88889,,
281,1e-05,1.0,,
282,1e-05,1.0,,
283,1.35289,0.88889,,
284,2e-05,1.0,,
285,0.81932,0.88889,,
286,0.00021,1.0,,
287,1e-05,1.0,,
288,1e-05,1.0,,
289,5e-05,1.0,,
290,0.02352,1.0,,
291,1e-05,1.0,,
292,1.74207,0.77778,,
293,1e-05,1.0,,
294,0.0,1.0,,
295,2e-05,1.0,,
296,0.0,1.0,,
297,2.95849,0.77778,,
298,0.0,1.0,,
299,1.17743,0.88889,,
300,0.00081,1.0,,
301,1.68868,0.88889,0.0,0.33333
302,0.0,1.0,,
303,1.81163,0.88889,,
304,1.79308,0.88889,,
305,2.01864,0.88889,,
306,0.0,1.0,,
307,0.0,1.0,,
308,1e-05,1.0,,
309,3.03013,0.77778,,
310,1.66858,0.88889,,
311,0.0,1.0,,
312,1.76852,0.88889,,
313,0.0,1.0,,
314,1.50157,0.88889,,
315,1e-05,1.0,,
316,0.0,1.0,,
317,0.0,1.0,,
318,0.0,1.0,,
319,1.4378,0.88889,,
320,0.0,1.0,,
321,0.0956,0.88889,,
322,0.0,1.0,,
323,0.0,1.0,,
324,0.0,1.0,,
325,0.55013,0.88889,,
326,0.0,1.0,,
327,1.9219,0.88889,,
328,0.0,1.0,,
329,2.15862,0.88889,,
330,0.0,1.0,,
331,0.0,1.0,,
332,0.0,1.0,,
333,0.0,1.0,,
334,1.5797,0.88889,,
335,0.0,1.0,,
336,1.70953,0.88889,,
337,0.0,1.0,,
338,0.0,1.0,,
339,0.0,1.0,,
340,0.0,1.0,,
341,0.0,1.0,,
342,1.07341,0.88889,,
343,0.0,1.0,,
344,0.0,1.0,,
345,0.0,1.0,,
346,0.0,1.0,,
347,0.0,1.0,,
348,0.0,1.0,,
349,3.49882,0.77778,,
350,1.90559,0.88889,,
351,0.0,1.0,,
352,1.62058,0.88889,,
353,1.96196,0.88889,,
354,0.0,1.0,,
355,1.46365,0.88889,,
356,1.89162,0.88889,,
357,0.0,1.0,,
358,0.65119,0.88889,,
359,1.79828,0.77778,,
360,1.48995,0.88889,,
361,1.18955,0.88889,,
362,2e-05,1.0,,
363,6e-05,1.0,,
364,1e-05,1.0,,
365,0.44863,0.88889,,
366,3.15461,0.66667,,
367,1.74075,0.77778,,
368,1e-05,1.0,,
369,1e-05,1.0,,
370,0.22442,0.88889,,
371,1e-05,1.0,,
372,0.00083,1.0,,
373,8e-05,1.0,,
374,0.0,1.0,,
375,1.28479,0.88889,,
376,1.18718,0.88889,,
377,0.0,1.0,,
378,0.0,1.0,,
379,1.08935,0.88889,,
380,1.51322,0.88889,,
381,0.0,1.0,,
382,1.35306,0.88889,,
383,0.0,1.0,,
384,0.0,1.0,,
385,0.00165,1.0,,
386,0.0,1.0,,
387,1.66175,0.88889,,
388,1.12376,0.88889,,
389,1.73647,0.88889,,
390,0.90878,0.88889,,
391,0.79765,0.88889,,
392,1.5821,0.88889,,
393,3.20289,0.77778,,
394,0.0,1.0,,
395,0.55714,0.88889,,
396,0.0,1.0,,
397,1.67258,0.88889,,
398,3e-05,1.0,,
399,0.0,1.0,,
400,0.0,1.0,,
401,0.0,1.0,0.0,0.33333
402,1.16588,0.88889,,
403,1.57619,0.88889,,
404,1.18483,0.88889,,
405,0.24058,0.88889,,
406,1.48577,0.88889,,
407,1.17163,0.88889,,
408,1e-05,1.0,,
409,1.53351,0.88889,,
410,0.0,1.0,,
411,0.0,1.0,,
412,0.0,1.0,,
413,1.22226,0.88889,,
414,1.31529,0.88889,,
415,1.01565,0.88889,,
416,1.12459,0.88889,,
417,0.0,1.0,,
418,0.29384,0.88889,,
419,0.0,1.0,,
420,0.62002,0.88889,,
421,1.80806,0.88889,,
422,0.00032,1.0,,
423,0.00022,1.0,,
424,0.00094,1.0,,
425,2e-05,1.0,,
426,1.44154,0.77778,,
427,0.74421,0.88889,,
428,1e-05,1.0,,
429,0.01137,1.0,,
430,1e-05,1.0,,
431,0.0,1.0,,
432,3.01001,0.77778,,
433,0.0,1.0,,
434,1.34295,0.88889,,
435,1.43482,0.88889,,
436,0.0,1.0,,
437,0.0,1.0,,
438,0.01723,1.0,,
439,0.0,1.0,,
440,1.87564,0.88889,,
441,0.0,1.0,,
442,0.0,1.0,,
443,0.0,1.0,,
444,1.82972,0.88889,,
445,0.0,1.0,,
446,0.0,1.0,,
447,0.0,1.0,,
448,0.33544,0.88889,,
449,1.85316,0.77778,,
450,0.0,1.0,,
451,1.60222,0.88889,,
452,0.0,1.0,,
453,0.92426,0.88889,,
454,1.38262,0.88889,,
455,1.25505,0.88889,,
456,1.65616,0.88889,,
457,0.0,1.0,,
458,3.77529,0.77778,,
459,2.04053,0.88889,,
460,1.92672,0.88889,,
461,0.01481,1.0,,
462,2.34381,0.66667,,
463,6e-05,1.0,,
464,0.0,1.0,,
465,0.0,1.0,,
466,0.0,1.0,,
467,0.92218,0.88889,,
468,0.00139,1.0,,
469,0.0,1.0,,
470,1.04434,0.88889,,
471,1.55115,0.88889,,
472,0.0,1.0,,
473,0.0,1.0,,
474,0.0,1.0,,
475,1.75109,0.88889,,
476,0.0,1.0,,
477,0.0,1.0,,
