step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
235,0.0,1.0,,
236,1.57266,0.88889,,
237,3.75713,0.77778,,
238,0.0,1.0,,
239,1.05133,0.88889,,
240,0.0,1.0,,
241,0.0,1.0,,
242,1.01581,0.77778,,
243,1.46956,0.88889,,
244,2.37519,0.77778,,
245,1.50363,0.88889,,
246,1.57163,0.88889,,
247,0.0,1.0,,
248,0.0,1.0,,
249,0.0,1.0,,
250,0.0,1.0,,
251,0.00015,1.0,,
252,0.0,1.0,,
253,2e-05,1.0,,
254,2.17728,0.88889,,
255,0.0,1.0,,
256,4.03654,0.77778,,
257,0.0,1.0,,
258,0.0,1.0,,
259,0.0,1.0,,
260,0.70496,0.88889,,
261,1.92338,0.88889,,
262,1.63075,0.88889,,
263,0.0,1.0,,
264,1e-05,1.0,,
265,0.0,1.0,,
266,0.00055,1.0,,
267,1.91539,0.88889,,
268,0.0,1.0,,
269,1.62928,0.88889,,
270,0.0,1.0,,
271,1.44044,0.88889,,
272,0.0,1.0,,
273,0.0,1.0,,
274,2e-05,1.0,,
275,0.0,1.0,,
276,0.38985,0.88889,,
277,0.0,1.0,,
278,0.0,1.0,,
279,0.0,1.0,,
280,1e-05,1.0,,
281,1.55501,0.88889,,
282,1.44366,0.88889,,
283,0.0,1.0,,
284,0.58734,0.88889,,
285,1.8022,0.88889,,
286,2.01411,0.88889,,
287,4.25739,0.66667,,
288,0.0,1.0,,
289,0.68358,0.88889,,
290,0.39972,0.88889,,
291,0.0,1.0,,
292,0.0,1.0,,
293,1.86205,0.77778,,
294,3e-05,1.0,,
295,1.81393,0.88889,,
296,0.0,1.0,,
297,0.0,1.0,,
298,0.0,1.0,,
299,0.0,1.0,,
300,1.45952,0.88889,,
301,0.0,1.0,0.0,0.33333
302,0.0,1.0,,
303,1.78987,0.88889,,
304,0.0,1.0,,
305,0.32683,0.88889,,
306,0.0,1.0,,
307,0.0,1.0,,
308,0.0,1.0,,
309,1.6733,0.88889,,
310,1.58546,0.88889,,
311,0.16282,0.88889,,
312,1.46575,0.88889,,
313,8e-05,1.0,,
314,1e-05,1.0,,
315,1.335,0.88889,,
316,0.0,1.0,,
317,0.0,1.0,,
318,1.32685,0.88889,,
319,0.0,1.0,,
320,1e-05,1.0,,
321,2.45028,0.77778,,
322,1.98949,0.88889,,
323,1.21533,0.88889,,
324,1.96888,0.88889,,
325,0.0,1.0,,
326,1.16412,0.88889,,
327,1.30923,0.88889,,
328,0.00137,1.0,,
329,0.0,1.0,,
330,6e-05,1.0,,
331,1e-05,1.0,,
332,0.0,1.0,,
333,9e-05,1.0,,
334,0.0,1.0,,
335,2e-05,1.0,,
336,2e-05,1.0,,
