step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,2.93036,0.55556,2.83267,0.22222
2,3.39726,0.55556,,
3,3.59061,0.44444,,
4,3.95779,0.55556,,
5,4.19233,0.55556,,
6,3.7452,0.55556,,
7,3.63531,0.55556,,
8,3.49519,0.55556,,
9,2.57947,0.55556,,
10,2.64769,0.66667,,
11,3.19843,0.55556,,
12,2.49217,0.55556,,
13,2.33466,0.55556,,
14,2.12597,0.66667,,
15,2.018,0.55556,,
16,1.81803,0.66667,,
17,1.74922,0.66667,,
18,1.47597,0.66667,,
19,1.81681,0.44444,,
20,1.63001,0.55556,,
21,1.45445,0.66667,,
22,0.90116,0.66667,,
23,1.7589,0.55556,,
24,0.33061,0.77778,,
25,0.61736,0.55556,,
26,0.17018,1.0,,
27,0.1061,1.0,,
28,0.34399,0.88889,,
29,0.13111,1.0,,
30,0.05938,1.0,,
31,0.03762,1.0,,
32,0.2334,0.88889,,
33,0.24567,0.88889,,
34,0.06742,1.0,,
35,0.13917,0.88889,,
36,0.36627,0.88889,,
37,0.48878,0.88889,,
38,0.19101,0.88889,,
39,0.29821,0.88889,,
40,0.10192,0.88889,,
41,0.03145,1.0,,
42,0.08977,1.0,,
43,0.02165,1.0,,
44,0.10834,1.0,,
45,0.07797,1.0,,
46,1.0258,0.77778,,
47,0.0606,1.0,,
48,0.11688,0.88889,,
49,0.4965,0.77778,,
50,0.28032,0.88889,,
51,0.56192,0.88889,,
52,0.02437,1.0,,
53,0.30291,0.88889,,
54,0.19134,0.88889,,
55,0.11543,0.88889,,
56,0.23574,0.77778,,
57,0.4164,0.77778,,
58,0.03108,1.0,,
59,0.45094,0.88889,,
60,0.02491,1.0,,
61,0.14911,0.88889,,
62,0.16457,0.88889,,
63,0.00709,1.0,,
64,0.02959,1.0,,
65,0.09343,1.0,,
66,0.30391,0.88889,,
67,0.36233,0.88889,,
68,0.16132,0.88889,,
69,0.00542,1.0,,
70,0.02304,1.0,,
71,0.54825,0.77778,,
72,0.01495,1.0,,
73,0.00239,1.0,,
74,0.08652,0.88889,,
75,0.0088,1.0,,
76,0.00145,1.0,,
77,0.00276,1.0,,
78,0.01483,1.0,,
79,0.00209,1.0,,
80,0.00296,1.0,,
81,0.32541,0.88889,,
82,0.00128,1.0,,
83,0.06352,1.0,,
84,0.596,0.88889,,
85,7e-05,1.0,,
86,6e-05,1.0,,
87,5e-05,1.0,,
88,0.00058,1.0,,
89,0.005,1.0,,
90,1.22308,0.88889,,
91,4e-05,1.0,,
92,4e-05,1.0,,
93,0.78054,0.88889,,
94,1.44416,0.88889,,
95,2.15183,0.77778,,
96,3e-05,1.0,,
97,2e-05,1.0,,
98,0.18304,0.88889,,
99,1.72009,0.88889,,
100,2e-05,1.0,,
101,1.43684,0.88889,0.00055,0.33333
102,8e-05,1.0,,
103,0.00027,1.0,,
104,4e-05,1.0,,
105,0.0006,1.0,,
106,2e-05,1.0,,
107,1e-05,1.0,,
108,0.00013,1.0,,
109,0.41973,0.88889,,
110,1e-05,1.0,,
111,0.00042,1.0,,
112,3e-05,1.0,,
113,1e-05,1.0,,
114,2.24167,0.77778,,
115,1e-05,1.0,,
116,3.64329,0.77778,,
117,3.20683,0.77778,,
118,1e-05,1.0,,
119,1e-05,1.0,,
120,1e-05,1.0,,
121,0.00137,1.0,,
122,2.04463,0.88889,,
123,1.6041,0.88889,,
124,1e-05,1.0,,
125,3.75084,0.77778,,
126,1e-05,1.0,,
127,1e-05,1.0,,
128,1e-05,1.0,,
129,1e-05,1.0,,
130,1e-05,1.0,,
131,4e-05,1.0,,
132,2.09773,0.77778,,
133,1e-05,1.0,,
134,1e-05,1.0,,
135,1e-05,1.0,,
136,1e-05,1.0,,
137,1e-05,1.0,,
138,1e-05,1.0,,
139,4.40399,0.77778,,
140,0.0,1.0,,
141,0.0,1.0,,
142,0.0,1.0,,
143,0.0,1.0,,
144,0.0,1.0,,
145,0.0,1.0,,
146,2.13981,0.88889,,
147,0.0,1.0,,
148,0.0,1.0,,
149,2.04929,0.88889,,
150,0.0,1.0,,
151,0.0,1.0,,
152,1.96085,0.88889,,
153,1.88283,0.88889,,
154,0.0,1.0,,
155,0.0,1.0,,
156,1.01906,0.88889,,
157,1.34114,0.88889,,
